Best in show?,,largest value,,,160,87,"$26,686",,,80,,16.50,,9,,"2,680",,"$1,349",,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,657",,,,,,,,,,,,,,,,,,,,,,,,,
we rated 87 dog breeds,,smallest value,,,1,1,"$15,792",,,1,,7.56,,0,,288,,$270,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,101",,X,,,,,,,,X,,,,,,,,,,,,,,,
Sources - see bottom right,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,,,
Dog breed,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,,,
Border Collie,,herding,,3.64,45,39,"$20,143",48.00%,,1,100%,12.52,79%,2,78%,$623,71%,$324,68%,2,75%,3,0.00%,,4.02,1,29,3.64,45,,medium,no data,no data,51,20,,,,,Brightest,<5,>95,164,"eye problems, deafness","Collie eye anomaly, deafness",,,,"16,658",47%,623,budget,175,1050,4,4,4,5.10,266,"3,329",,"12,506",999,784,121,126,244,177,116,200,,,,
Border Terrier,,terrier,,3.61,80,61,"$22,638",14.00%,,30,70%,14.00,98%,0,100%,$833,44%,$324,68%,2,75%,1,100%,,4.99,2,1,3.61,80,,small,6,13.5,no data,no data,,,,,Above average,15-25,>70,177,none,none,,,,"18,741",11%,833,mid-price,250,1200,4,4,4,5.10,266,"3,723",,"13,985",999,784,121,126,244,177,116,200,,,,
Brittany,,sporting,,3.54,30,30,"$22,589",16.00%,,19,80%,12.92,89%,0,100%,$618,72%,$466,23%,2,75%,2,50.00%,,4.42,3,11,3.54,30,,medium,16,35,48,19,,,,,Excellent,5-15,>85,28,none,none,,,,"18,662",14%,618,budget,300,1200,5.75,4,7.5,7.33,382,"4,939",,"12,906",999,784,121,126,244,177,116,200,,,,
Cairn Terrier,,terrier,,3.53,59,48,"$21,992",22.00%,,35,61%,13.84,95%,2,78%,$435,95%,$324,68%,2,75%,1,100%,,4.91,4,2,3.53,59,,small,6,14,25,10,,,,,Above average,15-25,>70,156,"'lion jaw', heart problems  ","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",,,,"18,140",23%,435,budget,300,600,4,4,4,5.10,266,"3,680",,"13,825",999,784,121,126,244,177,116,200,,,,
Welsh Springer Spaniel,,sporting,,3.34,130,81,"$20,224",47.00%,,31,69%,12.49,77%,1,89%,$750,55%,$324,68%,2,75%,1,100%,,4.71,5,4,3.34,130,,medium,no data,no data,46,18,,only one dog for sale,,,Above average,15-25,>70,172,hip problems,hip dysplasia,,,,"16,748",46%,750,mid-price,750,750,4,4,4,5.10,266,"3,321",,"12,476",999,784,121,126,244,177,116,200,,,,
English Cocker Spaniel,,sporting,,3.33,63,51,"$18,993",63.00%,,18,82%,11.66,54%,0,100%,$800,52%,$324,68%,2,75%,1,100%,,4.70,6,5,3.33,63,,medium,14,30,41,16,,,,,Excellent,5-15,>85,1199,none,none,,,,"15,748",62%,800,mid-price,600,1000,4,4,4,5.10,266,"3,101",,"11,647",999,784,121,126,244,177,116,200,,,,
Cocker Spaniel,,sporting,,3.3,27,27,"$24,330",9.00%,,20,79%,12.50,78%,2,78%,$465,93%,$674,21%,2,75%,1,100.00%,,4.67,7,6,3.30,27,,small,11,25,37,14.5,,American cocker spaniel,,,Excellent,5-15,>85,-,"eye, skin problems","Retinal dysplasia, seborrhea",,,,"18,505",15%,465,budget,250,800,-,-,-,8,428,"5,353",,"12,486",999,784,121,126,244,177,116,200,lifespan,http://www.yourdogsbreed.com/dog-breeds/100-cocker-spaniel.html,http://www.vetstreet.com/dogs/cocker-spaniel,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/American-Cocker-Spaniel
Papillon,,toy,,3.26,38,33,"$21,001",36.00%,,8,92%,13.00,90%,5,44%,$740,56%,$324,68%,2,75%,2,50.00%,,4.13,8,22,3.26,38,,small,no data,no data,24,9.5,,,,,Brightest,<5,>95,100,"cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease",,,,"17,383",37%,740,mid-price,400,1000,4,4,4,5.10,266,"3,457",,"12,986",999,784,121,126,244,177,116,200,,,,
Australian Cattle Dog,,herding,,3.25,60,49,"$20,395",43.00%,,10,90%,11.67,55%,1,89%,$530,85%,$466,23%,2,75%,3,0.00%,,3.63,9,52,3.25,60,,medium,no data,no data,47,18.5,,,,,Brightest,<5,>95,11,hip problems,hip dysplasia,,,,"16,848",43%,530,budget,250,1000,5.75,4,7.5,7.33,382,"4,461",,"11,657",999,784,121,126,244,177,116,200,,,,
